pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
056233-F01336-WC,2,1,056233,F01336,105
056227-F01290,2,1,056227,F01290,90
056227-F01289,2,1,056227,F01289,90
056233-F01335-WC,2,1,056233,F01335,105
F00960-F00955,2,1,F00960,F00955,120
F00960-F00954,2,1,F00960,F00954,120
056228-F01290,2,1,056228,F01290,90
056228-F01289,2,1,056228,F01289,90
056228-F01289-WC,2,1,056228,F01289,270
056227-F01290-WC,2,1,056227,F01290,270
056227-F01289-WC,2,1,056227,F01289,270
056228-F01290-WC,2,1,056228,F01290,270
056234-F01336-WC,2,1,056234,F01336,105
F00962-F00960,2,1,F00962,F00960,270
F00962-F00961,2,1,F00962,F00961,270
056234-F01335-WC,2,1,056234,F01335,105
F00963-F00955,2,1,F00963,F00955,270
F00963-F00954,2,1,F00963,F00954,270
F00963-F00960,2,1,F00963,F00960,270
F00963-F00961,2,1,F00963,F00961,270
056234-F01336,2,1,056234,F01336,250
056234-F01335,2,1,056234,F01335,250
F00962-F00955,2,1,F00962,F00955,270
F00961-F00955,2,1,F00961,F00955,120
F00962-F00954,2,1,F00962,F00954,270
F00961-F00954,2,1,F00961,F00954,120
056233-F01335,2,1,056233,F01335,150
056233-F01336,2,1,056233,F01336,150
